Recency,Frequency,Monetary,ClusterID
0.9063444,0.06578948,0.2940541,1
0.429003,0.02192982,0.2994788,3
0.978852,0.01315789,0.3016827,1
0.8700907,0,0.3020326,1
0.8096676,0,0.302079,1
0.5740181,0.01754386,0.3032196,1
0.939577,0.01754386,0.303645,1
0.009063444,0.00877193,0.3044956,3
0.1329305,0.00877193,0.3062935,3
0.9063444,0,0.3069991,1
0.9063444,0,0.3071442,1
0.2416918,0,0.3072988,3
0.9818731,0.004385965,0.3078691,1
0.1570997,0.127193,0.3078691,3
0.003021148,0.09210526,0.3078691,3
0.1722054,0.8815789,0.3078691,2
0.03927492,0,0.3078691,3
0.1993958,0.08333334,0.3078691,3
0.6132931,0.05701754,0.3078691,1
0.1903323,0.1359649,0.3078691,3
0.1903323,0.01315789,0.3078691,3
0.1389728,0.01315789,0.3078691,3
0.07250755,0.02192982,0.3078691,3
0.4652568,0.1535088,0.3078691,3
0.4018127,0.004385965,0.3078691,3
0.05135952,0.09210526,0.3078691,3
0,0.01315789,0.3084298,3
0.897281,0,0.3085941,1
0.7492447,0,0.310334,1
0.3595166,0,0.310769,3
0.7915408,0,0.310769,1
0.4954683,0.04385965,0.310769,3
0.3202417,0,0.3111557,3
0.08761329,0,0.3118903,3
0.1661631,0,0.3118903,3
0.7885196,0,0.3127989,1
0.06646526,0,0.3136689,3
0.7190332,0,0.3137849,1
0.9365559,0.004385965,0.3140169,1
0.489426,0.004385965,0.3141812,3
0.8851964,0,0.3144422,1
0.2326284,0.00877193,0.3145969,3
0.04229607,0.004385965,0.3147129,3
0.09667674,0.004385965,0.3147129,3
0.1087613,0.07017544,0.3149371,3
0.7583082,0.004385965,0.3150995,1
0.1540785,0.01754386,0.3153025,3
0.5679758,0.004385965,0.315432,1
0.4682779,0.03508772,0.3154552,3
0.7824773,0.00877193,0.3156988,1
0.05135952,0.01315789,0.3157858,3
0.009063444,0.00877193,0.3159869,3
0.05438067,0.00877193,0.3162208,3
0.1117825,0.004385965,0.3162788,3
0.09667674,0.01315789,0.3166848,3
0.5317221,0.004385965,0.3169458,3
0.2356495,0.004385965,0.3172415,3
0.04229607,0,0.3174967,3
0.4954683,0,0.3177287,3
0.3202417,0.01754386,0.317837,3
0.5649547,0.004385965,0.3179221,1
0.3293051,0,0.3179221,3
0.01812689,0.01315789,0.3179607,3
0.2416918,0.05263158,0.3180825,3
0.8761329,0.03508772,0.318212,1
0.8851964,0.02631579,0.3182701,1
0.1480363,0,0.3187263,3
0.7673716,0.00877193,0.3187727,1
0.5377644,0.02192982,0.3190975,3
0.7613293,0.04824561,0.3191767,1
0.3867069,0.004385965,0.319372,3
0.5619335,0.00877193,0.319372,3
0.6132931,0,0.31943,1
0.6555891,0.01315789,0.3194493,1
0.407855,0.00877193,0.319604,3
0.978852,0.01315789,0.319807,1
0.5951661,0.02192982,0.3198553,1
0.1329305,0.06140351,0.3199385,3
0.3806646,0.01754386,0.319979,3
0.8066465,0.01315789,0.3200196,1
0.6253777,0.09649123,0.3201337,1
0.4652568,0,0.3201936,3
0.2809668,0.004385965,0.320242,3
0.8610272,0.131579,0.3202864,1
0.2990937,0.004385965,0.3203676,3
0.1933535,0.004385965,0.3205126,3
0.6555891,0.01754386,0.3210056,1
0.0755287,0.0745614,0.3211777,3
0.4622357,0.07894737,0.3214058,3
0.4652568,0.04385965,0.321487,3
0.09063444,0.02631579,0.3215953,3
0.8066465,0,0.3216726,1
0.102719,0.02631579,0.3217228,3
0.5498489,0.03070175,0.3217886,3
0.7432024,0.04824561,0.3219626,1
0.1752266,0.00877193,0.3220206,3
0.7009063,0.09649123,0.3220786,1
0.5135952,0.1096491,0.3221327,3
0.2114804,0.02192982,0.3222525,3
0.2205438,0.004385965,0.3223492,3
0.05135952,0.00877193,0.3223686,3
0.6586103,0.02192982,0.3224961,1
0.2416918,0.01754386,0.3225136,3
0.8489426,0.004385965,0.3225812,1
0.978852,0,0.3226237,1
0.6555891,0,0.3226237,1
0.8912387,0,0.3226237,1
0.5317221,0.00877193,0.3226585,3
0.08761329,0.01754386,0.3227165,3
0.7885196,0.00877193,0.3228132,1
0.02719033,0.00877193,0.3228325,3
0.02114804,0.004385965,0.3228519,3
0.918429,0,0.3231805,1
0.8549849,0,0.3231805,1
0.06646526,0.05701754,0.3233739,3
0.4380665,0.004385965,0.3234705,3
0.02114804,0.01754386,0.3234898,3
0.5438067,0.02631579,0.3234937,3
0.1782477,0.01315789,0.3236136,3
0.1661631,0.01315789,0.3236387,3
0.5740181,0.02192982,0.3238301,1
0.2839879,0.04824561,0.3238668,3
0.9123867,0.01754386,0.3241665,1
0.1782477,0.04824561,0.3242341,3
0.7613293,0,0.3243018,1
0.3413897,0.122807,0.3243269,3
0.4833837,0.06578948,0.3245183,3
0.4108761,0.01754386,0.3247658,3
0.04531722,0.004385965,0.3247909,3
0.7734139,0.01754386,0.3249204,1
0.7190332,0.02631579,0.3250654,1
0.6132931,0.01315789,0.3250751,1
0.2960725,0.03508772,0.3250867,3
0.009063444,0.02631579,0.3252568,3
0.4320242,0.00877193,0.3252684,3
0.009063444,0.02631579,0.3252762,3
0.652568,0.07017544,0.3252916,1
0.05740181,0.00877193,0.3253264,3
0.1933535,0.01754386,0.3253844,3
0.6465257,0.02192982,0.3253844,1
0.2779456,0.004385965,0.3255236,3
0.08761329,0.01754386,0.3255932,3
0.06344411,0.01315789,0.3256164,3
0.9607251,0.01315789,0.3256164,1
0.1933535,0.01315789,0.3256261,3
0.1933535,0.02192982,0.325744,3
0.6435046,0.02192982,0.3257943,1
0.6767372,0.01754386,0.3259161,1
0.1782477,0.02631579,0.325976,3
0.6555891,0.01754386,0.3259934,1
0.04229607,0.02192982,0.3259992,3
0.8731118,0.02192982,0.3260417,1
0.102719,0.02192982,0.3260804,3
0.8791541,0.004385965,0.3261094,1
0.9728097,0.01315789,0.3261113,1
0.4984894,0.01754386,0.3262737,3
0.04833837,0.03070175,0.3263008,3
0.1329305,0.00877193,0.3263994,3
0.1752266,0.004385965,0.3264516,3
0.2628399,0.004385965,0.3265444,3
0.8429003,0.02192982,0.3265831,1
0.05438067,0.01315789,0.3267184,3
0.1722054,0.03508772,0.3267435,3
0.9728097,0.02192982,0.326757,1
0.1933535,0.1447368,0.3268092,3
0.1299094,0.06578948,0.326815,3
0.0755287,0.03508772,0.3268962,3
0.4471299,0.02192982,0.326902,3
0.7069486,0.03070175,0.3269697,1
0.4803625,0.04824561,0.3270354,3
0.9577039,0,0.327105,1
0.7099698,0.02192982,0.3271572,1
0.8882175,0.01315789,0.3272983,1
0.2145015,0.004385965,0.3273563,3
0.03927492,0.00877193,0.3273757,3
0.4743202,0.004385965,0.3274143,3
