index,Recency,Frequency,Monetary
2842,-0.612371324,-1.695131297,-1.950439287
3472,-0.184295582,-1.695131297,-1.950439287
2938,1.672843016,-1.695131297,-1.884861132
2048,-0.757772767,-1.695131297,-1.829258272
465,1.51775478,-1.695131297,-1.822274974
2222,1.981995138,-1.567036168,-1.808577586
3118,0.943211455,-1.567036168,-1.799082458
2728,1.877698696,-1.695131297,-1.784335023
2106,0.103446888,-1.468745318,-1.775779266
2786,-0.954697669,-1.567036168,-1.769448122
3375,-0.55532475,-1.567036168,-1.769448122
3367,-0.483156889,-0.729314009,-1.757407896
2364,1.606285919,-1.567036168,-1.748847217
3493,-0.242382455,-1.312878513,-1.738324752
2671,1.152456019,-1.567036168,-1.731710185
386,0.884071059,-1.076633299,-1.730533478
1747,1.659634595,-1.468745318,-1.71832046
918,-0.875817158,-1.385882298,-1.714020108
2253,-1.354370194,-1.468745318,-1.704200673
1205,-0.851009019,-1.468745318,-1.692978102
1899,-0.46573343,-1.567036168,-1.690228145
1073,-0.55532475,-1.385882298,-1.671323783
2424,1.057798642,-1.567036168,-1.659475654
2011,0.115489141,-1.567036168,-1.646319206
3590,-0.954697669,-1.695131297,-1.635189214
1239,0.95987435,-1.695131297,-1.625240458
3383,0.426158022,-1.312878513,-1.620651069
1443,1.144684873,-1.567036168,-1.617068378
1830,0.456887639,-1.695131297,-1.617068378
1549,-1.216574491,-1.385882298,-1.615446562
1943,0.139347132,-0.889367174,-1.61036476
2474,1.858983252,-1.076633299,-1.605004442
1484,1.877698696,-1.186184352,-1.6026188
623,-0.272264215,-1.695131297,-1.584154093
3346,1.626389553,-1.468745318,-1.582305511
446,1.073792826,-1.246878045,-1.569510028
1602,1.613000361,-0.93311034,-1.566424874
821,1.136893031,-1.468745318,-1.558885876
457,0.642477367,-1.567036168,-1.558885876
635,1.266646392,-1.695131297,-1.55666302
2979,1.369492288,-1.385882298,-1.555923721
513,0.707365963,-1.468745318,-1.550038738
207,2.06576372,-1.385882298,-1.542392652
2097,1.221491408,-1.246878045,-1.540584951
1952,-0.349695081,-0.806664074,-1.537487038
526,0.623616194,-1.312878513,-1.535979272
1531,1.712168643,-1.385882298,-1.534474872
3034,1.296381662,-0.521274199,-1.530266079
580,0.875514961,-1.695131297,-1.528065129
470,0.287728683,-1.567036168,-1.526295362
822,1.82757516,-0.282554741,-1.524671242
3330,0.352735322,-1.567036168,-1.521715433
3101,-0.060755989,-1.567036168,-1.516468887
1261,1.369492288,-1.312878513,-1.49892507
2183,-0.693076031,-0.692347911,-1.492905386
3502,0.866931218,-0.656395162,-1.485003704
2621,0.875514961,-0.9787174,-1.482212673
2882,-0.593051416,-1.186184352,-1.478508502
507,1.712168643,-1.695131297,-1.475874575
989,-0.518725019,-1.186184352,-1.474167793
824,1.105515349,-1.129692039,-1.471942066
3426,1.57251207,-0.93311034,-1.466084059
2369,-0.142080789,-1.468745318,-1.464142109
97,1.476082774,-0.521274199,-1.462205459
3458,1.009266088,-0.427513616,-1.460402666
452,0.016894271,-1.246878045,-1.45642694
2557,0.054488041,-1.567036168,-1.453236767
642,-0.875817158,-1.468745318,-1.452600437
2639,1.376710256,-1.246878045,-1.448414783
3251,0.139347132,-1.312878513,-1.4478459
3478,1.802250484,-1.567036168,-1.445637853
1078,2.06576372,-1.695131297,-1.4442534
2057,1.369492288,-1.695131297,-1.4442534
2355,1.890122655,-1.695131297,-1.4442534
3200,1.057798642,-1.468745318,-1.443122644
1022,-0.612371324,-1.312878513,-1.441241985
472,1.672843016,-1.468745318,-1.438118408
1501,-1.106353868,-1.468745318,-1.43749531
3448,-1.17759363,-1.567036168,-1.436872749
2111,1.945517943,-1.695131297,-1.426370179
2305,1.814935116,-1.695131297,-1.426370179
1087,-0.757772767,-0.847276495,-1.420262248
1006,0.797232731,-1.567036168,-1.41722731
2743,-1.17759363,-1.312878513,-1.416621827
3655,1.089697904,-1.186184352,-1.416500791
3247,-0.128248765,-1.385882298,-1.412758521
404,-0.184295582,-1.385882298,-1.411976263
2526,1.167936879,-1.246878045,-1.406046154
3058,0.298704225,-0.93311034,-1.404913482
37,1.933279275,-1.312878513,-1.395737396
811,-0.128248765,-0.93311034,-1.393680972
923,1.613000361,-1.695131297,-1.391630208
1971,0.497215824,-0.339023471,-1.390869929
2578,0.926446015,-0.767384301,-1.385105354
574,0.716498149,-1.312878513,-1.377717281
3528,-0.927593815,-1.567036168,-1.376970975
1681,1.63972634,-1.312878513,-1.3731363
1766,1.51775478,-1.186184352,-1.368866721
5,1.266646392,-1.385882298,-1.368582937
1285,0.342039105,-1.076633299,-1.368242536
1154,-1.354370194,-1.186184352,-1.363267468
1093,0.779511701,-1.468745318,-1.362929442
