Recency,Frequency,Monetary,ClusterID
1.727636,-2.020056,-2.883705,1
0.2321086,-0.1426117,1.242205,2
-0.7969513,0.7180164,1.211607,2
1.668224,-0.6562513,-0.5282593,1
-0.3555647,1.017121,1.039722,2
1.198336,-1.646622,-1.368583,1
1.338291,0.470685,0.5973576,1
1.249959,-0.8645151,-0.2652325,1
-0.6712902,0.4886375,1.905831,2
-1.9469,-0.5662212,0.6901705,3
-0.07271888,1.387044,1.819461,2
1.578453,-1.056615,-0.933145,1
0.5776128,-0.4063216,-0.09995192,1
-1.305534,0.8887032,0.8323629,2
1.594461,-0.4063216,-0.5608997,1
-1.650062,-0.9881128,-1.007872,3
-0.08822051,1.719255,2.290989,2
-0.1866017,0.5581597,1.31049,2
0.1969319,0.3575882,0.8181016,2
1.672007,-0.8082091,-0.4593853,1
-0.6148099,-0.08514223,0.1897981,3
-1.77865,-0.6102612,-0.2728162,3
1.687044,0.7771938,1.108503,2
0.3100832,0.120655,0.3312388,3
-0.7009894,1.1354,1.853663,2
-1.544699,0.9670804,1.247341,2
1.094512,1.077413,1.27415,2
-0.5117356,-0.1724371,-0.0763495,3
-0.905656,1.077413,1.888294,2
0.2883557,-0.113527,-0.1035876,3
-0.7009894,1.077413,-0.2624047,2
0.1969319,0.5750006,1.070945,2
0.09715009,-0.2668243,0.7936426,3
-0.905656,1.654624,2.009669,2
-0.3555647,1.357697,1.666009,2
-0.1695168,0.8887032,1.114656,2
0.6521466,0.4886375,0.6285216,2
1.641473,-1.51373,-1.395737,1
1.716673,-0.9881128,-0.8178618,1
-0.1039626,-1.400185,-0.3632845,3
0.8723041,0.3963678,1.174644,2
-0.7009894,1.169166,2.158751,2
-0.1039626,0.7771938,1.172848,2
-0.4192842,1.223853,1.92345,2
1.63374,-0.2344921,0.1020241,1
0.2321086,0.5238428,0.7491807,2
0.1356585,0.09674419,0.121002,3
1.265076,-0.6102612,-0.08256147,1
-1.77865,1.94894,2.307046,2
0.6029726,-0.05742008,0.08364528,1
0.09715009,-0.2030476,-0.02087537,3
-0.905656,0.2338156,0.274773,3
0.4515349,0.07236286,0.2712303,3
-2.202651,1.357697,1.281522,2
0.9632614,-0.1724371,1.214253,2
0.2661975,-0.003829184,0.2363479,3
1.150148,-0.1724371,-0.04922447,1
-1.07888,-0.03032627,0.1413811,3
-0.221686,-0.9881128,-0.7278295,3
0.3419071,0.3963678,0.2201931,3
0.4889555,-0.7044005,-0.1741803,1
-0.9873929,1.053585,1.959415,2
-1.77865,-0.9243047,-0.9962456,3
-0.7009894,-1.646622,-1.149756,3
0.0156712,0.470685,0.5124308,2
1.389654,-0.3001038,-0.2331574,1
