CustomerID,Recency,Frequency,Monetary,ClusterID
12346,0.9063444,0.06578948,0.2940541,1
12347,0.429003,0.02192982,0.2994788,3
12348,0.978852,0.01315789,0.3016827,1
12349,0.8700907,0,0.3020326,1
12350,0.8096676,0,0.302079,1
12352,0.5740181,0.01754386,0.3032196,1
12353,0.939577,0.01754386,0.303645,1
12354,0.009063444,0.00877193,0.3044956,3
12355,0.1329305,0.00877193,0.3062935,3
12356,0.9063444,0,0.3069991,1
12357,0.9063444,0,0.3071442,1
12358,0.2416918,0,0.3072988,3
12359,0.9818731,0.004385965,0.3078691,1
12360,0.1570997,0.127193,0.3078691,3
12361,0.003021148,0.09210526,0.3078691,3
12362,0.1722054,0.8815789,0.3078691,2
12363,0.03927492,0,0.3078691,3
12364,0.1993958,0.08333334,0.3078691,3
12365,0.6132931,0.05701754,0.3078691,1
12367,0.1903323,0.1359649,0.3078691,3
12370,0.1903323,0.01315789,0.3078691,3
12371,0.1389728,0.01315789,0.3078691,3
12372,0.07250755,0.02192982,0.3078691,3
12373,0.4652568,0.1535088,0.3078691,3
12374,0.4018127,0.004385965,0.3078691,3
12375,0.05135952,0.09210526,0.3078691,3
12377,0,0.01315789,0.3084298,3
12378,0.897281,0,0.3085941,1
12379,0.7492447,0,0.310334,1
12380,0.3595166,0,0.310769,3
12381,0.7915408,0,0.310769,1
12383,0.4954683,0.04385965,0.310769,3
12384,0.3202417,0,0.3111557,3
12386,0.08761329,0,0.3118903,3
12388,0.1661631,0,0.3118903,3
12390,0.7885196,0,0.3127989,1
12391,0.06646526,0,0.3136689,3
12393,0.7190332,0,0.3137849,1
12394,0.9365559,0.004385965,0.3140169,1
12395,0.489426,0.004385965,0.3141812,3
12397,0.8851964,0,0.3144422,1
12398,0.2326284,0.00877193,0.3145969,3
12399,0.04229607,0.004385965,0.3147129,3
12401,0.09667674,0.004385965,0.3147129,3
12402,0.1087613,0.07017544,0.3149371,3
12403,0.7583082,0.004385965,0.3150995,1
12405,0.1540785,0.01754386,0.3153025,3
12406,0.5679758,0.004385965,0.315432,1
12407,0.4682779,0.03508772,0.3154552,3
12408,0.7824773,0.00877193,0.3156988,1
12409,0.05135952,0.01315789,0.3157858,3
12410,0.009063444,0.00877193,0.3159869,3
12412,0.05438067,0.00877193,0.3162208,3
12413,0.1117825,0.004385965,0.3162788,3
12414,0.09667674,0.01315789,0.3166848,3
12415,0.5317221,0.004385965,0.3169458,3
12417,0.2356495,0.004385965,0.3172415,3
12418,0.04229607,0,0.3174967,3
12420,0.4954683,0,0.3177287,3
12421,0.3202417,0.01754386,0.317837,3
12422,0.5649547,0.004385965,0.3179221,1
12423,0.3293051,0,0.3179221,3
12424,0.01812689,0.01315789,0.3179607,3
12425,0.2416918,0.05263158,0.3180825,3
12426,0.8761329,0.03508772,0.318212,1
12427,0.8851964,0.02631579,0.3182701,1
12428,0.1480363,0,0.3187263,3
12429,0.7673716,0.00877193,0.3187727,1
12430,0.5377644,0.02192982,0.3190975,3
12431,0.7613293,0.04824561,0.3191767,1
12432,0.3867069,0.004385965,0.319372,3
12433,0.5619335,0.00877193,0.319372,3
12434,0.6132931,0,0.31943,1
12435,0.6555891,0.01315789,0.3194493,1
12436,0.407855,0.00877193,0.319604,3
12437,0.978852,0.01315789,0.319807,1
12438,0.5951661,0.02192982,0.3198553,1
12441,0.1329305,0.06140351,0.3199385,3
12442,0.3806646,0.01754386,0.319979,3
12444,0.8066465,0.01315789,0.3200196,1
12445,0.6253777,0.09649123,0.3201337,1
12446,0.4652568,0,0.3201936,3
12447,0.2809668,0.004385965,0.320242,3
12448,0.8610272,0.131579,0.3202864,1
12449,0.2990937,0.004385965,0.3203676,3
12450,0.1933535,0.004385965,0.3205126,3
12451,0.6555891,0.01754386,0.3210056,1
12452,0.0755287,0.0745614,0.3211777,3
12453,0.4622357,0.07894737,0.3214058,3
12454,0.4652568,0.04385965,0.321487,3
12455,0.09063444,0.02631579,0.3215953,3
12456,0.8066465,0,0.3216726,1
12457,0.102719,0.02631579,0.3217228,3
12458,0.5498489,0.03070175,0.3217886,3
12461,0.7432024,0.04824561,0.3219626,1
12462,0.1752266,0.00877193,0.3220206,3
12463,0.7009063,0.09649123,0.3220786,1
12464,0.5135952,0.1096491,0.3221327,3
12465,0.2114804,0.02192982,0.3222525,3
12468,0.2205438,0.004385965,0.3223492,3
12471,0.05135952,0.00877193,0.3223686,3
12472,0.6586103,0.02192982,0.3224961,1
12473,0.2416918,0.01754386,0.3225136,3
12474,0.8489426,0.004385965,0.3225812,1
12475,0.978852,0,0.3226237,1
12476,0.6555891,0,0.3226237,1
12477,0.8912387,0,0.3226237,1
12478,0.5317221,0.00877193,0.3226585,3
12479,0.08761329,0.01754386,0.3227165,3
12480,0.7885196,0.00877193,0.3228132,1
12481,0.02719033,0.00877193,0.3228325,3
12483,0.02114804,0.004385965,0.3228519,3
12484,0.918429,0,0.3231805,1
12488,0.8549849,0,0.3231805,1
12489,0.06646526,0.05701754,0.3233739,3
12490,0.4380665,0.004385965,0.3234705,3
12491,0.02114804,0.01754386,0.3234898,3
12492,0.5438067,0.02631579,0.3234937,3
12493,0.1782477,0.01315789,0.3236136,3
12494,0.1661631,0.01315789,0.3236387,3
12497,0.5740181,0.02192982,0.3238301,1
12498,0.2839879,0.04824561,0.3238668,3
12500,0.9123867,0.01754386,0.3241665,1
12501,0.1782477,0.04824561,0.3242341,3
12502,0.7613293,0,0.3243018,1
12503,0.3413897,0.122807,0.3243269,3
12504,0.4833837,0.06578948,0.3245183,3
12505,0.4108761,0.01754386,0.3247658,3
12506,0.04531722,0.004385965,0.3247909,3
12507,0.7734139,0.01754386,0.3249204,1
12508,0.7190332,0.02631579,0.3250654,1
